,Loan_Sanction_Amount_(USD)
545,110733.79
546,180262.65
547,26456.11
548,21460.13
549,91574.24
550,46038.17
551,90234.85
552,67821.12
553,135364.07
554,18553.85
555,62790.94
556,14563.21
557,43778.31
558,110704.38
559,14122.63
560,46808.42
561,25153.94
562,19415.1
563,54198.54
564,198656.23
565,72098.94
566,27421.79
567,45894.74
568,28125.58
569,42254.3
570,8058.11
571,77843.63
572,84182.58
573,43008.62
574,90023.88
575,84073.65
576,66251.98
577,13073.99
578,71434.97
579,56835.94
580,32539.85
581,24740.48
582,12780.26
583,91358.82
584,33870.74
585,125044.18
586,86005.11
587,12894.97
588,106685.5
589,36403.06
590,127874.85
591,28215.5
592,232893.53
593,185458.09
594,54023.95
595,66166.7
596,150883.12
597,46352.94
598,17008.53
599,114094.48
600,35286.28
601,22371.45
602,97676.52
603,120018.37
604,138837.26
605,94095.55
606,67405.19
607,32141.62
608,39708.63
609,222521.86
610,64784.89
611,93490.95
612,28950.02
613,35294.06
614,44223.25
615,33880.61
616,87541.81
617,87308.27
618,33705.91
619,97336.9
620,50382.81
621,17270.61
622,51237.58
623,65804.86
624,84540.57
625,30027.11
626,26052.48
627,73161.08
628,72064.91
629,73217.85
630,76957.9
631,142368.92
632,102570.9
633,14686.64
634,183789.4
635,131368.08
636,42513.51
637,61791.86
638,47421.43
639,62591.24
640,73026.32
641,17494.64
642,52991.92
643,89629.82
644,35181.53
645,32508.69
646,34344.0
647,30115.43
648,15908.55
649,26531.45
650,42262.18
651,47039.57
652,20288.37
653,24082.55
654,122441.17
655,64046.94
656,76965.08
657,77482.83
658,213223.09
659,20881.71
660,148224.87
661,73418.58
662,87054.59
663,19319.83
664,15843.95
665,37624.68
666,101587.7
667,51224.06
668,34568.51
669,68809.08
670,19468.05
671,22249.86
672,104317.02
673,123337.33
674,58384.13
675,31390.5
676,147490.4
677,84733.8
678,77640.32
679,126590.79
680,91394.84
681,176785.82
682,44153.48
683,48526.51
684,89792.16
685,73044.98
686,29061.63
687,70577.5
688,34327.46
689,13794.41
690,62151.04
691,158161.59
692,69475.96
693,8973.34
694,25099.42
695,68876.4
696,70884.27
697,120682.96
698,162178.23
699,26640.61
700,118311.57
701,52890.81
702,89180.86
703,39141.59
704,72617.21
705,22121.0
706,18442.74
707,83359.01
708,111857.67
709,41809.06
710,39144.78
711,33515.38
712,21803.65
713,57097.21
714,48088.61
715,52751.71
716,23918.99
717,88403.6
718,45340.31
719,16303.29
720,87783.74
721,30579.84
722,76965.44
723,81775.88
724,92502.42
725,51583.88
726,128570.22
727,31455.37
728,71000.98
729,26972.08
730,86064.81
731,73296.37
732,25910.29
733,23165.51
734,78128.62
735,43572.93
736,126362.1
737,111157.8
738,68523.76
739,145810.39
740,87867.18
741,42331.67
742,91027.14
743,33311.07
744,15943.03
745,59975.9
746,80952.02
747,26259.37
748,74302.25
749,29494.73
750,102302.66
751,70140.79
752,92190.37
753,24262.21
754,48532.89
755,81859.03
756,62113.69
757,80417.22
758,15311.76
759,18380.13
760,38191.92
761,91732.71
762,73891.94
763,52524.42
764,26835.64
765,38337.77
766,125669.8
767,34561.32
768,86912.01
769,29772.61
770,120717.43
771,60331.46
772,64328.18
773,63186.19
774,131153.21
775,73818.43
776,28486.7
777,46090.19
778,39482.18
779,20849.44
780,25499.47
781,54418.39
782,15432.31
783,38302.94
784,50020.72
785,107886.29
786,43696.93
787,202672.41
788,10662.93
789,26366.53
790,14398.11
791,35143.89
792,28976.07
793,137429.14
794,103232.94
795,56685.25
796,108918.94
797,68506.03
798,95077.98
799,27639.5
800,16511.54
801,28804.25
802,124124.24
803,106639.45
804,16392.46
805,71876.55
806,54413.68
807,95584.02
808,39046.6
809,42531.81
810,74573.15
811,180125.58
812,26738.11
813,27936.18
814,32170.45
815,23616.19
816,80656.13
817,100844.9
818,168750.6
819,21767.52
820,100200.6
821,34369.99
822,86889.69
823,27580.48
824,67785.26
825,38720.53
826,56112.17
827,150892.66
828,109191.98
829,16073.32
830,24756.21
831,63368.7
832,124305.12
833,20535.74
834,131381.76
835,96115.98
836,113155.91
837,28796.58
838,197147.76
839,116055.31
840,32545.45
841,38263.97
842,46590.36
843,143640.72
844,111834.53
845,19042.39
846,27240.41
847,54908.08
848,60330.08
849,71808.46
850,12610.85
851,21647.12
852,72457.74
853,70084.42
854,38507.44
855,23320.73
856,20364.94
857,128788.72
858,97227.2
859,42942.81
860,79137.45
861,45625.38
862,19766.72
863,16814.94
864,168030.79
865,67713.32
866,29345.88
867,25625.89
868,56160.6
869,55815.7
870,88869.44
871,21793.3
872,51484.87
873,56686.28
874,140414.56
875,26194.42
876,40671.04
877,17375.39
878,35992.98
879,75699.44
880,27660.05
881,131610.34
882,25537.15
883,64098.36
884,55920.62
885,16900.09
886,31287.58
887,134311.88
888,79575.46
889,51770.64
890,35897.92
891,62405.07
892,200575.2
893,25486.84
894,48398.86
895,81587.08
896,48759.42
897,29171.08
898,62557.19
899,44709.88
900,175859.35
901,97529.3
902,87202.73
903,40214.06
904,35252.67
905,27901.13
906,23599.34
907,17156.23
908,122677.66
909,35651.18
910,20986.26
911,60030.35
912,40865.8
913,107653.38
914,14863.9
915,30754.78
916,148026.83
917,84809.49
918,171367.28
919,75989.96
920,121357.1
921,99398.73
922,28082.4
923,59381.05
924,25696.7
925,60228.01
926,54336.71
927,77644.44
928,91576.42
929,151507.22
930,28846.97
931,94699.41
932,146495.1
933,55893.17
934,124038.12
935,21956.77
936,30709.66
937,89834.54
938,57023.38
939,122462.35
940,158829.04
941,74090.79
942,68743.63
943,60772.82
944,90909.22
945,22588.42
946,60863.71
947,20724.02
948,79454.44
949,86655.79
950,25584.72
951,120749.01
952,24900.95
953,36492.79
954,67374.24
955,61892.79
956,67490.05
957,83921.85
958,43617.47
959,122053.62
960,94926.58
961,96393.79
962,115383.01
963,31965.75
964,103112.11
965,106164.56
966,31387.68
967,78619.3
968,36755.6
969,88633.03
970,70483.88
971,24680.36
972,84994.51
973,105992.43
974,199190.87
975,54385.0
976,14415.22
977,116055.74
978,27949.69
979,57056.72
980,50981.52
981,33582.6
982,49828.45
983,54767.47
984,60438.45
985,50860.43
986,131375.31
987,28298.38
988,74088.11
989,75489.04
990,96241.92
991,47455.43
992,148728.5
993,106996.69
994,50364.53
995,91804.14
996,64603.78
997,79209.21
998,16697.28
999,66823.64
1000,33213.28
1001,137903.27
1002,61456.45
1003,116128.78
1004,78389.9
1005,52015.48
1006,29420.12
1007,209139.4
1008,81344.06
1009,74360.06
1010,51605.82
1011,13156.0
1012,89175.49
1013,29230.84
1014,23649.24
1015,80289.4
1016,26827.44
1017,43668.8
1018,118589.08
1019,54563.28
1020,28352.35
1021,51896.59
1022,95385.51
1023,66345.23
1024,19360.8
1025,92454.54
1026,170593.88
1027,132927.05
1028,88106.69
1029,56498.54
1030,45188.28
1031,79736.62
1032,46213.07
1033,48764.0
1034,27268.23
1035,172738.35
1036,25498.1
1037,29095.41
1038,31474.59
1039,140036.62
1040,110085.14
1041,30756.59
1042,7394.1
1043,83057.65
1044,89304.46
1045,15344.46
1046,53569.42
1047,26162.94
1048,106866.16
1049,91847.94
1050,21134.75
1051,91814.44
1052,28072.36
1053,74377.09
1054,53421.76
1055,34076.55
1056,43500.76
1057,73554.05
1058,27462.69
1059,24321.63
1060,63532.33
1061,103931.42
1062,9223.13
1063,134923.5
1064,66969.97
1065,60611.34
1066,61237.34
1067,72028.11
1068,144566.85
1069,114159.95
1070,82383.28
1071,108804.77
1072,26384.59
1073,58255.23
1074,59298.1
1075,112270.4
1076,19548.3
1077,35388.91
1078,33644.15
1079,24903.35
1080,26356.16
1081,24321.2
1082,15653.59
1083,118317.07
1084,142766.01
1085,65321.25
1086,34193.04
1087,55675.82
1088,87492.03
1089,13862.31
1090,14916.22
1091,70286.03
1092,43814.16
1093,13497.14
1094,58870.76
1095,18283.93
1096,50626.21
1097,111338.09
1098,34587.44
1099,12296.53
1100,19818.3
1101,70478.71
1102,25827.87
1103,71568.56
1104,90476.06
1105,50251.63
1106,71474.27
1107,30591.01
1108,205141.16
1109,120568.0
1110,66003.74
1111,61579.08
1112,78674.73
1113,51634.13
1114,100324.13
1115,67670.88
1116,68468.66
1117,57274.05
1118,56149.98
1119,87120.92
1120,35694.13
1121,116059.54
1122,162460.88
1123,63706.93
1124,63683.68
1125,8017.09
1126,102400.04
1127,73604.71
1128,10979.72
1129,57502.05
1130,16070.68
1131,51283.92
1132,197892.9
1133,24408.64
1134,25061.74
1135,63786.9
1136,8575.18
1137,60681.0
1138,165444.45
1139,61722.68
1140,31323.09
1141,95250.34
1142,31326.83
1143,76936.1
1144,51694.09
1145,64574.18
1146,13255.29
1147,47992.03
1148,49923.69
1149,120169.86
1150,48785.91
1151,45379.68
1152,91090.02
1153,87403.01
1154,29280.17
1155,110089.48
1156,267751.53
1157,167112.77
1158,63796.25
1159,25444.25
1160,65678.91
1161,135969.48
1162,24866.56
1163,63268.5
1164,53089.61
1165,10747.61
1166,28082.93
1167,52391.2
1168,146375.89
1169,85712.73
1170,73258.7
1171,46655.55
1172,57300.75
1173,24038.33
1174,104127.1
1175,50474.62
1176,31987.72
1177,223592.43
1178,27746.6
1179,52457.57
1180,111185.82
1181,92909.68
1182,110338.66
1183,65171.02
1184,172059.09
1185,130090.86
1186,60677.12
1187,119559.05
1188,71419.45
1189,127956.42
1190,61009.94
1191,29074.96
1192,114934.0
1193,62133.25
1194,24523.63
1195,192993.58
1196,9159.0
1197,38229.7
1198,139505.22
1199,40520.22
1200,24662.06
1201,39655.19
1202,28672.81
1203,102610.79
1204,63268.46
1205,25761.75
1206,63901.56
1207,67920.46
1208,152202.0
1209,20127.82
1210,92477.61
1211,26067.14
1212,22540.83
1213,70044.69
1214,58383.78
1215,120323.01
1216,42344.36
1217,140662.33
1218,72738.78
1219,104507.4
1220,58923.93
1221,60263.04
1222,172581.58
1223,198245.42
1224,76691.57
1225,40773.62
1226,114360.41
1227,48860.42
1228,84809.47
1229,88492.71
1230,33955.67
1231,17180.74
1232,26797.99
1233,66416.26
1234,141404.14
1235,116033.78
1236,11890.14
1237,58266.85
1238,32224.58
1239,53286.37
1240,61050.86
1241,29658.44
1242,105281.93
1243,28207.88
1244,26057.93
1245,125114.82
1246,107516.12
1247,16663.27
1248,57891.05
1249,64872.63
1250,29720.01
1251,58814.82
1252,97877.79
1253,54429.18
1254,81163.43
1255,19269.17
1256,69300.43
1257,11220.32
1258,91083.08
1259,64546.75
1260,71537.04
1261,50967.01
1262,20356.73
1263,72145.3
1264,82834.0
1265,176733.02
1266,128498.44
1267,50638.29
1268,60519.98
1269,55272.15
1270,65595.16
1271,104488.07
1272,13301.02
1273,60213.68
1274,124283.45
1275,98315.15
1276,62230.62
1277,111100.51
1278,49543.96
1279,30218.94
1280,33213.6
1281,83819.64
1282,22558.26
1283,25898.83
1284,8532.9
1285,37010.48
1286,39721.32
1287,36284.28
1288,57059.06
1289,59063.38
1290,60269.61
1291,38524.25
1292,44560.48
1293,37260.75
1294,21858.39
1295,14464.35
1296,50905.28
1297,46929.79
1298,62813.98
1299,81987.39
1300,141897.57
1301,64225.21
1302,45476.01
1303,47005.0
1304,19363.89
1305,15027.54
1306,27028.18
1307,15125.49
1308,78095.36
1309,30187.06
1310,14730.47
1311,31806.66
1312,35485.69
1313,74715.81
1314,99019.03
1315,23411.33
1316,78744.22
1317,57083.74
1318,86070.96
1319,86378.5
1320,59166.9
1321,55162.86
1322,85513.27
1323,22743.15
1324,74064.07
1325,34385.42
1326,84097.34
1327,127456.81
1328,63552.38
1329,40420.8
1330,28737.58
1331,15673.04
1332,121011.54
1333,15861.51
1334,48569.51
1335,30044.26
1336,8314.44
1337,134897.85
1338,56330.85
1339,28378.99
1340,124970.82
1341,84996.98
1342,48733.6
1343,173301.47
1344,132127.33
1345,27640.41
1346,85549.36
1347,98950.01
1348,39764.2
1349,76394.27
1350,66489.26
1351,74494.31
1352,68686.65
1353,123703.59
1354,12795.28
1355,44330.78
1356,35122.93
1357,93848.82
1358,32384.79
1359,19504.4
1360,126721.41
1361,148725.84
1362,29429.51
1363,59957.58
1364,142915.37
1365,64926.05
1366,67926.48
1367,226465.56
1368,47617.33
1369,12150.14
1370,13778.4
1371,29582.54
1372,55864.14
1373,96882.9
1374,73422.1
1375,29487.33
1376,17138.54
1377,49493.27
1378,58981.18
1379,18471.21
1380,32137.63
1381,22040.62
1382,91113.6
1383,51467.47
1384,56556.86
1385,69655.58
1386,19188.08
1387,77078.96
1388,29464.0
1389,29327.34
1390,71420.47
1391,201584.51
1392,95957.86
1393,53853.53
1394,122423.17
1395,71232.74
1396,63806.48
1397,72971.37
1398,89984.36
1399,61368.8
1400,88868.35
1401,24106.89
1402,111030.72
1403,68366.7
1404,37420.42
1405,110239.94
1406,27401.76
1407,36441.89
1408,72706.46
1409,25718.67
1410,25384.66
1411,31719.05
1412,29214.52
1413,48763.18
1414,52871.13
1415,24715.1
1416,109755.21
1417,17964.91
1418,68797.1
1419,29312.91
1420,33328.84
1421,29772.2
1422,91678.54
1423,30153.5
1424,25214.07
1425,46101.01
1426,51116.8
1427,80223.35
1428,24433.26
1429,64406.8
1430,82788.98
1431,54628.04
1432,133900.01
1433,118076.04
1434,67586.91
1435,74639.7
1436,116358.91
1437,41691.31
1438,53871.82
1439,29016.95
1440,87924.69
1441,72044.68
1442,41782.18
1443,18885.19
1444,92060.01
1445,51018.54
1446,82581.78
1447,60283.8
1448,75785.91
1449,16105.12
1450,174486.78
1451,101319.08
1452,72838.81
1453,85119.22
1454,118387.72
1455,39168.08
1456,27456.9
1457,152287.16
1458,82371.7
1459,57201.08
1460,44361.49
1461,63057.23
1462,43513.07
1463,72182.22
1464,44140.7
1465,38818.87
1466,26444.13
1467,17281.64
1468,30974.43
1469,52805.84
1470,144498.93
1471,71010.54
1472,18413.25
1473,187316.42
1474,50406.14
1475,44617.77
1476,62125.78
1477,83911.39
1478,29524.94
1479,55114.98
1480,28967.96
1481,57154.1
1482,29887.46
1483,66786.25
1484,94073.53
1485,31829.38
1486,191226.14
1487,110913.48
1488,21167.1
1489,67764.1
1490,83163.88
1491,29256.16
1492,35506.31
1493,27505.42
1494,27404.52
1495,60190.06
1496,37603.55
1497,94604.66
1498,25363.81
1499,67747.64
1500,22200.68
1501,152744.68
1502,93063.34
1503,157676.77
1504,46465.58
1505,35259.11
1506,46844.22
1507,82806.54
1508,182703.25
1509,128125.02
1510,26089.66
1511,90048.89
1512,61195.42
1513,49557.58
1514,31634.92
1515,92798.92
1516,30419.32
1517,35465.14
1518,136802.53
1519,12392.68
1520,23793.42
1521,31602.14
1522,26391.74
1523,91620.65
1524,94263.94
1525,37144.23
1526,29634.84
1527,25072.78
1528,25918.8
1529,68728.58
1530,15684.41
1531,22085.78
1532,185739.4
1533,94971.19
1534,31476.35
1535,41569.61
1536,76294.95
1537,14444.49
1538,103859.53
1539,52240.91
1540,39775.33
1541,46355.91
1542,24803.85
1543,111289.17
1544,44842.88
1545,13330.8
1546,98046.95
1547,76534.3
1548,26085.65
1549,94546.82
1550,35856.34
1551,144401.69
1552,169372.39
1553,184031.89
1554,36920.62
1555,94896.52
1556,95232.05
1557,106018.22
1558,22111.79
1559,72323.83
1560,101088.67
1561,46463.74
1562,60066.24
1563,17647.56
1564,29996.96
1565,121752.13
1566,72326.2
1567,131683.65
1568,82675.9
1569,45209.63
1570,52412.72
1571,8811.49
1572,71693.48
1573,47269.74
1574,44933.22
1575,27293.68
1576,23949.39
1577,54770.93
1578,29535.37
1579,88379.8
1580,27119.53
1581,58525.0
1582,26263.9
1583,176981.0
1584,16982.69
1585,55768.24
1586,42506.23
1587,53494.29
1588,13023.52
1589,70746.86
1590,19001.52
1591,85761.74
1592,105659.46
1593,32936.28
1594,153162.39
1595,109217.89
1596,41178.93
1597,82687.12
1598,19348.38
1599,20974.28
1600,18068.1
1601,18117.06
1602,46951.47
1603,60833.44
1604,54270.11
1605,44499.99
1606,97421.4
1607,35123.38
1608,48693.32
1609,289506.99
1610,23817.43
1611,102088.41
1612,59524.26
1613,65696.31
1614,67262.75
1615,41446.31
1616,48959.52
1617,38700.32
1618,165249.99
1619,134164.72
1620,43920.98
1621,122871.01
1622,13411.05
1623,18905.61
1624,14328.84
1625,53711.52
1626,75981.3
1627,145612.96
1628,54929.22
1629,27057.98
1630,67306.34
1631,64755.38
1632,25254.12
1633,37636.49
1634,35517.13
1635,26499.75
1636,64735.5
1637,52118.96
1638,83576.72
1639,55179.75
1640,10198.35
1641,183748.62
1642,77523.1
1643,46556.89
1644,13615.25
1645,128670.76
1646,78805.34
1647,48331.79
1648,66261.53
1649,51296.64
1650,25332.83
1651,50619.6
1652,45132.47
1653,37947.41
1654,169621.42
1655,81944.96
1656,31543.39
1657,36778.69
1658,77853.94
1659,47380.47
1660,66293.58
1661,103104.11
1662,87405.6
1663,16444.58
1664,69878.61
1665,24700.94
1666,67862.81
1667,140357.38
1668,120761.05
1669,51933.45
1670,91731.02
1671,44985.84
1672,24658.97
1673,59487.68
1674,45872.94
1675,37287.79
1676,47296.19
1677,22791.53
1678,55702.42
1679,30632.34
1680,73956.44
1681,58739.74
1682,64555.47
1683,128621.18
1684,110269.15
1685,155787.74
1686,86957.83
1687,54779.46
1688,46892.08
1689,52558.84
1690,143141.79
1691,95419.93
1692,67231.74
1693,141950.7
1694,108483.8
1695,56344.77
1696,93425.86
1697,106681.18
1698,36673.77
1699,123222.26
1700,34581.4
1701,92085.73
1702,20244.78
1703,21646.65
1704,220961.6
1705,22021.34
1706,63390.87
1707,22923.89
1708,101865.34
1709,29482.27
1710,67714.11
1711,62696.15
1712,54159.12
1713,47711.89
1714,230606.88
1715,98601.62
1716,39089.92
1717,80719.69
1718,41292.99
1719,23613.54
1720,59295.34
1721,54169.02
1722,112059.84
1723,44911.02
1724,86722.41
1725,34367.46
1726,31786.99
1727,14096.24
1728,48562.78
1729,40825.84
1730,58991.92
1731,40283.5
1732,17719.44
1733,122335.34
1734,58153.31
1735,22598.46
1736,45383.46
1737,57225.31
1738,148637.09
1739,77252.15
1740,51169.21
1741,61138.35
1742,100223.26
1743,39386.81
1744,13179.79
1745,46822.62
1746,74682.02
1747,75157.99
1748,46622.41
1749,76544.44
1750,19687.94
1751,71444.34
1752,43618.15
1753,24870.07
1754,19960.55
1755,51510.88
1756,54425.87
1757,67567.04
1758,12161.81
1759,115503.95
1760,56772.59
1761,90120.52
1762,96496.13
1763,60464.28
1764,19378.64
1765,70008.44
1766,70147.1
1767,209534.38
1768,59661.31
1769,231769.64
1770,95003.56
1771,157286.98
1772,18945.2
1773,197081.56
1774,64375.36
1775,112859.8
1776,46041.73
1777,59637.49
1778,167719.56
1779,169740.19
1780,79539.83
1781,39744.38
1782,110633.79
1783,46575.84
1784,14662.2
1785,74571.76
1786,64102.98
1787,11158.16
1788,23812.7
1789,45886.41
1790,100746.17
1791,68835.9
1792,34300.46
1793,35350.85
1794,33586.04
1795,156251.88
1796,109939.93
1797,24668.07
1798,70206.97
1799,146968.79
1800,35382.09
1801,116351.24
1802,34434.95
1803,58811.35
1804,117635.73
1805,112242.42
1806,88981.24
1807,94926.22
1808,119940.48
1809,40910.82
1810,37143.09
1811,8576.15
1812,48506.53
1813,64324.47
1814,53008.18
1815,64905.16
1816,76294.56
1817,17281.93
1818,20740.29
1819,51990.35
1820,71925.35
1821,52981.2
1822,86588.07
1823,44267.22
1824,63084.98
1825,57960.02
1826,76715.6
1827,76777.86
1828,89238.17
1829,33649.69
1830,75553.65
1831,86749.69
1832,111065.5
1833,78393.38
1834,30650.05
1835,20509.72
1836,156036.79
1837,84822.63
1838,97787.1
1839,51626.2
1840,26997.74
1841,38609.3
1842,163128.6
1843,53475.98
1844,22570.66
1845,31282.54
1846,76881.67
1847,36949.52
1848,166526.87
1849,40848.39
1850,46144.32
1851,43507.75
1852,49379.32
1853,69032.6
1854,79958.2
1855,41087.7
1856,170553.24
1857,27686.38
1858,19190.64
1859,40945.81
1860,34286.42
1861,104548.92
1862,128839.73
1863,99668.3
1864,102846.01
1865,103575.83
1866,63727.42
1867,36315.94
1868,33025.39
1869,21515.29
