,Loan_Sanction_Amount_(USD)
312,51224.06
313,68809.08
314,19468.05
315,123337.33
316,31390.5
317,147490.4
318,84733.8
319,77640.32
320,126590.79
321,91394.84
322,176785.82
323,44153.48
324,48526.51
325,34327.46
326,158161.59
327,8973.34
328,68876.4
329,70884.27
330,26640.61
331,118311.57
332,52890.81
333,39141.59
334,22121.0
335,33515.38
336,57097.21
337,23918.99
338,30579.84
339,51583.88
340,128570.22
341,71000.98
342,86064.81
343,25910.29
344,23165.51
345,78128.62
346,43572.93
347,87867.18
348,26259.37
349,74302.25
350,29494.73
351,70140.79
352,92190.37
353,28819.91
354,15311.76
355,38191.92
356,91732.71
357,73891.94
358,52524.42
359,38337.77
360,64328.18
361,63186.19
362,131153.21
363,73818.43
364,28486.7
365,46090.19
366,25499.47
367,54418.39
368,43696.93
369,202672.41
370,49507.11
371,14398.11
372,28976.07
373,9764.54
374,95077.98
375,27639.5
376,16511.54
377,124124.24
378,16392.46
379,71876.55
380,54413.68
381,95584.02
382,74573.15
383,180125.58
384,26738.11
385,80656.13
386,100844.9
387,27580.48
388,67785.26
389,56112.17
390,150892.66
391,16073.32
392,63368.7
393,124305.12
394,131381.76
395,113155.91
396,116055.31
397,32545.45
398,46590.36
399,143640.72
400,60330.08
401,71808.46
402,12610.85
403,38507.44
404,23320.73
405,128788.72
406,97227.2
407,79137.45
408,25625.89
409,88869.44
410,21793.3
411,51484.87
412,56686.28
413,140414.56
414,27660.05
415,131610.34
416,25537.15
417,64098.36
418,31287.58
419,79575.46
420,35897.92
421,62405.07
422,200575.2
423,48398.86
424,81587.08
425,29171.08
426,44709.88
427,175859.35
428,97529.3
429,40214.06
430,35252.67
431,17156.23
432,122677.66
433,35651.18
434,20986.26
435,60030.35
436,40865.8
437,107653.38
438,14863.9
439,30754.78
440,75989.96
441,25696.7
442,54336.71
443,77644.44
444,151507.22
445,53863.32
446,146495.1
447,124038.12
448,30709.66
449,122462.35
450,158829.04
451,74090.79
452,68743.63
453,60772.82
454,90909.22
455,22588.42
456,60863.71
457,86655.79
458,120749.01
459,24900.95
460,36492.79
461,67374.24
462,122053.62
463,96393.79
464,115383.01
465,103112.11
466,106164.56
467,88633.03
468,24680.36
469,84994.51
470,105992.43
471,50981.52
472,49828.45
473,54767.47
474,60438.45
475,75489.04
476,96241.92
477,106996.69
478,91804.14
479,66823.64
480,61456.45
481,78389.9
482,209139.4
483,74360.06
484,29230.84
485,43668.8
486,118589.08
487,54563.28
488,28352.35
489,95385.51
490,66345.23
491,19360.8
492,170593.88
493,88106.69
494,56498.54
495,79736.62
496,46213.07
497,48764.0
498,27268.23
499,31474.59
500,110085.14
501,7394.1
502,83057.65
503,26162.94
504,91847.94
505,21134.75
506,74377.09
507,34076.55
508,7916.12
509,103931.42
510,60611.34
511,114159.95
512,82383.28
513,19548.3
514,33644.15
515,24321.2
516,15653.59
517,65321.25
518,34193.04
519,55675.82
520,6489.11
521,87492.03
522,13497.14
523,58870.76
524,18283.93
525,111338.09
526,19818.3
527,25827.87
528,90476.06
529,50251.63
530,30591.01
531,205141.16
532,61579.08
533,51634.13
534,87120.92
535,35694.13
536,63706.93
537,8017.09
538,102400.04
539,73604.71
540,10979.72
541,57502.05
542,16070.68
543,197892.9
544,24408.64
545,25061.74
546,63786.9
547,8575.18
548,61722.68
549,31323.09
550,31326.83
551,76936.1
552,51694.09
553,47992.03
554,45379.68
555,87403.01
556,63796.25
557,24866.56
558,63268.5
559,10747.61
560,28082.93
561,146375.89
562,85712.73
563,57300.75
564,24038.33
565,104127.1
566,52457.57
567,111185.82
568,71419.45
569,127956.42
570,61009.94
571,29074.96
572,62133.25
573,192993.58
574,40520.22
575,39655.19
576,28672.81
577,102610.79
578,63268.46
579,63901.56
580,67920.46
581,152202.0
582,20127.82
583,22540.83
584,120323.01
585,140662.33
586,60263.04
587,13502.76
588,76691.57
589,141404.14
590,11890.14
591,61050.86
592,29658.44
593,107516.12
594,16663.27
595,58814.82
596,97877.79
597,54429.18
598,81163.43
599,19269.17
600,69300.43
601,91083.08
602,71537.04
603,20356.73
604,72145.3
605,176733.02
606,128498.44
607,60519.98
608,55272.15
609,65595.16
610,104488.07
611,60213.68
612,124283.45
613,62230.62
614,111100.51
615,30218.94
616,33213.6
617,22558.26
618,8532.9
619,37010.48
620,39721.32
621,36284.28
622,57059.06
623,59063.38
624,60269.61
625,38524.25
626,44560.48
627,37260.75
628,50905.28
629,81987.39
630,19363.89
631,27028.18
632,15125.49
633,14730.47
634,31806.66
635,23411.33
636,78744.22
637,57083.74
638,86070.96
639,59166.9
640,85513.27
641,22743.15
642,74064.07
643,34385.42
644,40420.8
645,28134.43
646,15673.04
647,121011.54
648,15861.51
649,56330.85
650,84996.98
651,85549.36
652,98950.01
653,76394.27
654,66489.26
655,12795.28
656,44330.78
657,35122.93
658,148725.84
659,29429.51
660,59957.58
661,142915.37
662,64926.05
663,226465.56
664,13778.4
665,96882.9
666,29487.33
667,49493.27
668,18471.21
669,32137.63
670,51467.47
671,69655.58
672,201584.51
673,95957.86
674,53853.53
675,63806.48
676,88868.35
677,24106.89
678,111030.72
679,68366.7
680,37420.42
681,110239.94
682,25718.67
683,29214.52
684,52871.13
685,109755.21
686,29312.91
687,25214.07
688,46101.01
689,80223.35
690,24433.26
691,64406.8
692,54628.04
693,133900.01
694,67586.91
695,74639.7
696,116358.91
697,53871.82
698,29016.95
699,87924.69
700,18885.19
701,51018.54
702,60283.8
703,16105.12
704,174486.78
705,85119.22
706,118387.72
707,61436.02
708,63057.23
709,72182.22
710,52805.84
711,18413.25
712,187316.42
713,50406.14
714,44617.77
715,83911.39
716,29524.94
717,28967.96
718,191226.14
719,67764.1
720,35506.31
721,94604.66
722,25363.81
723,22200.68
724,46465.58
725,35259.11
726,46844.22
727,82806.54
728,26089.66
729,90048.89
730,61195.42
731,31634.92
732,35465.14
733,12392.68
734,31602.14
735,26391.74
736,94263.94
737,37144.23
738,25072.78
739,25918.8
740,15684.41
741,41569.61
742,14444.49
743,103859.53
744,24803.85
745,111289.17
746,184031.89
747,94896.52
748,106018.22
749,22111.79
750,72323.83
751,101088.67
752,60066.24
753,17647.56
754,121752.13
755,72326.2
756,131683.65
757,45209.63
758,71693.48
759,44933.22
760,27293.68
761,29535.37
762,88379.8
763,26263.9
764,42506.23
765,53494.29
766,13023.52
767,70746.86
768,19001.52
769,85761.74
770,32936.28
771,153162.39
772,20974.28
773,18068.1
774,46951.47
775,54270.11
776,44499.99
777,48693.32
778,59524.26
779,65696.31
780,38700.32
781,165249.99
782,134164.72
783,43920.98
784,122871.01
785,13411.05
786,18905.61
787,75981.3
788,54929.22
789,27057.98
790,64755.38
791,25254.12
792,35517.13
793,52118.96
794,83576.72
795,183748.62
796,77523.1
797,51296.64
798,45132.47
799,169621.42
800,31543.39
801,66293.58
802,16444.58
803,24700.94
804,140357.38
805,91731.02
806,44985.84
807,37287.79
808,47296.19
809,55702.42
810,30632.34
811,155787.74
812,143141.79
813,108483.8
814,56344.77
815,106681.18
816,36673.77
817,20244.78
818,21646.65
819,22021.34
820,29482.27
821,67714.11
822,62696.15
823,47711.89
824,80719.69
825,41292.99
826,59295.34
827,54169.02
828,112059.84
829,44911.02
830,86722.41
831,34367.46
832,31786.99
833,48562.78
834,17719.44
835,58153.31
836,22598.46
837,45383.46
838,57225.31
839,148637.09
840,51169.21
841,61138.35
842,100223.26
843,13179.79
844,46822.62
845,76544.44
846,24870.07
847,19960.55
848,115503.95
849,96496.13
850,70008.44
851,231769.64
852,95003.56
853,157286.98
854,18945.2
855,197081.56
856,59637.49
857,167719.56
858,169740.19
859,79539.83
860,39744.38
861,110633.79
862,46575.84
863,74571.76
864,23812.7
865,100746.17
866,68835.9
867,35350.85
868,24668.07
869,70206.97
870,35382.09
871,116351.24
872,34434.95
873,117635.73
874,88981.24
875,119940.48
876,40910.82
877,48506.53
878,64324.47
879,53008.18
880,64905.16
881,51990.35
882,71925.35
883,86588.07
884,44267.22
885,63084.98
886,76777.86
887,89238.17
888,75553.65
889,111065.5
890,30650.05
891,97787.1
892,26997.74
893,38609.3
894,163128.6
895,53475.98
896,22570.66
897,43507.75
898,69032.6
899,79958.2
900,41087.7
901,170553.24
902,19190.64
903,40945.81
904,128839.73
905,99668.3
906,102846.01
907,21515.29
908,57423.52
909,81385.56
910,23630.5
911,56648.74
912,18746.73
913,54046.85
914,78678.47
915,56321.33
916,27917.05
917,30538.9
918,49129.18
919,22675.59
920,99766.87
921,18914.89
922,105717.49
923,47648.22
924,28305.26
925,33570.99
926,25222.9
927,32525.81
928,86221.39
929,94486.61
930,39274.26
931,49443.94
932,163007.2
933,173898.91
934,32036.09
935,38578.3
936,34814.26
937,47717.08
938,51784.41
939,36060.36
940,27958.62
941,72701.55
942,32833.0
943,141607.98
944,50540.7
945,20745.89
946,53618.79
947,26181.96
948,133183.12
949,60993.92
950,27038.0
951,95086.55
952,24913.89
953,22275.48
954,49119.98
955,12799.1
956,24521.37
957,53566.77
958,181864.44
959,30364.49
960,128181.4
961,48683.06
962,29263.65
963,15604.49
964,84284.03
965,63447.9
966,45730.12
967,64219.89
968,63465.18
969,17915.6
970,23171.26
971,152391.46
972,68669.83
973,38524.87
974,109859.24
975,119817.88
976,87424.21
977,82810.95
978,154347.22
979,103981.37
980,26792.35
981,39516.44
982,60342.83
983,94962.37
984,117253.04
985,116524.62
986,92267.5
987,94631.58
988,49638.36
989,20394.27
990,31289.62
991,42207.54
992,21778.67
993,20302.03
994,45297.64
995,85596.29
996,55358.74
997,119574.55
998,32340.12
999,70569.46
1000,148299.15
1001,44134.08
1002,44944.19
1003,86712.74
1004,42302.41
1005,65087.05
1006,52107.06
1007,63469.9
1008,36404.77
1009,66570.88
1010,49753.48
1011,111935.6
1012,52769.35
1013,125983.93
1014,57479.56
1015,41086.36
1016,46978.58
1017,115423.7
1018,113528.29
1019,20502.65
1020,47086.3
1021,36735.01
1022,44286.86
1023,124499.23
1024,100148.86
1025,41944.94
1026,75590.19
1027,53604.92
1028,137491.77
1029,17609.91
1030,94637.6
1031,51356.49
1032,31955.29
1033,47170.23
1034,49545.43
1035,29622.25
1036,26438.48
1037,63947.97
1038,34098.8
1039,72512.27
1040,29364.87
1041,134119.81
1042,61135.13
1043,141757.97
1044,148394.96
1045,26639.19
1046,49200.54
1047,18361.25
1048,67265.65
1049,98926.1
1050,174476.56
1051,8120.25
1052,25040.66
1053,63057.12
1054,48623.6
1055,76686.18
1056,91371.62
1057,17311.57
1058,82735.49
1059,78678.09
1060,202110.77
1061,41460.04
1062,78649.3
1063,186025.54
1064,127671.4
1065,43624.72
1066,19427.12
1067,93127.26
1068,87942.66
1069,81972.87
1070,90109.42
1071,50014.43
1072,171324.02
1073,26388.89
1074,73800.14
1075,31903.6
1076,71378.26
1077,55285.6
1078,124270.32
1079,99530.41
1080,38789.88
1081,56421.51
1082,83643.36
1083,94672.72
1084,25935.06
1085,86660.52
1086,80224.46
1087,77056.9
1088,63322.47
1089,96863.2
1090,28076.27
1091,21338.76
1092,35820.31
1093,66784.71
1094,19424.04
1095,85648.12
1096,27260.73
1097,91853.71
1098,60804.5
1099,48110.48
1100,80350.52
1101,102036.61
1102,183133.6
1103,4592.28
1104,116202.73
1105,75610.61
1106,58274.5
1107,20610.52
1108,39274.94
1109,25695.4
1110,109850.52
1111,26081.77
1112,52345.88
1113,155611.26
1114,26828.93
1115,81032.22
1116,102482.28
1117,70805.24
1118,47109.73
1119,111092.32
1120,100451.4
1121,115557.45
1122,35828.06
1123,80481.02
1124,54850.85
1125,80859.46
1126,41522.16
1127,162331.8
1128,80185.79
1129,72752.32
1130,59555.86
1131,61806.76
1132,35100.15
1133,58426.0
1134,62150.93
1135,35884.81
1136,121663.52
1137,34894.23
1138,146877.78
1139,98680.57
1140,51229.77
1141,117299.25
1142,14347.13
1143,51128.36
1144,93915.57
1145,64501.23
1146,123585.41
1147,130666.12
1148,25526.94
1149,10024.67
1150,56322.03
1151,34797.62
1152,34125.3
1153,26589.7
1154,73203.07
1155,89881.24
1156,106616.49
1157,30701.56
1158,103780.33
1159,16028.43
1160,72318.71
1161,70065.28
1162,41347.02
1163,85090.54
1164,25288.7
1165,19839.92
1166,106976.01
1167,24353.01
1168,14648.17
1169,17320.79
1170,64965.08
1171,178376.21
1172,98656.2
1173,134570.97
1174,28045.56
1175,23654.38
1176,51137.83
1177,39303.34
1178,20326.0
1179,32591.72
1180,12880.41
1181,142051.34
1182,137025.33
1183,13209.92
1184,43766.76
1185,82704.49
1186,5083.23
1187,50808.27
1188,103897.86
1189,27207.29
1190,24990.51
1191,44838.51
1192,83396.66
1193,42527.84
1194,9042.84
1195,24799.63
1196,66278.78
1197,40703.26
1198,28990.81
1199,35266.61
1200,49730.99
1201,89967.25
1202,32277.97
1203,48277.96
1204,111845.08
1205,26231.78
1206,162168.13
1207,13803.34
1208,27497.68
1209,131996.57
1210,65379.8
1211,46007.77
1212,66908.98
1213,31600.7
1214,67438.18
1215,178701.32
1216,37846.84
1217,31168.73
1218,95445.7
1219,114433.75
1220,45400.52
1221,23744.18
1222,30010.96
1223,17323.0
1224,32122.12
1225,113345.2
1226,20991.46
1227,64236.97
1228,111383.84
1229,44271.87
1230,112214.98
1231,62069.6
1232,81178.85
1233,57857.7
1234,74374.72
1235,25381.43
1236,115536.41
1237,19348.29
1238,62736.36
1239,74716.89
1240,41612.75
1241,19826.68
1242,86447.09
1243,45038.7
1244,29977.63
1245,74743.96
1246,54045.66
1247,55733.39
1248,108536.81
1249,80133.16
1250,24973.0
1251,27724.36
1252,40882.68
1253,15888.63
1254,101620.23
1255,29411.3
1256,21257.83
1257,63787.54
1258,42465.96
1259,16318.76
1260,55382.75
1261,69710.39
1262,71358.52
1263,91642.4
1264,12259.77
1265,79400.54
1266,29297.61
1267,68312.64
1268,127343.93
1269,20262.98
1270,92712.65
1271,112218.61
1272,11705.81
1273,32480.84
1274,17269.43
1275,111547.39
1276,19337.8
1277,24096.37
1278,134378.62
1279,101732.15
1280,31431.28
1281,34599.41
1282,77711.89
1283,50431.3
1284,22146.66
1285,63532.27
1286,24220.92
1287,25528.48
1288,130683.95
1289,117249.26
1290,45795.94
1291,20152.5
1292,46922.32
1293,96985.92
1294,92443.13
1295,19532.46
1296,56937.84
1297,203799.66
1298,17379.65
1299,78484.54
1300,76120.65
1301,137028.5
1302,45150.22
1303,30278.81
1304,70000.17
1305,96231.29
1306,117734.47
1307,9759.41
1308,21870.01
1309,35114.39
1310,87300.47
1311,38647.55
1312,31969.7
1313,67925.19
1314,46616.6
1315,114007.75
1316,49065.75
1317,189268.15
1318,99432.67
1319,144213.02
1320,96589.66
1321,35149.7
1322,4488.02
1323,57557.69
1324,26846.16
1325,78485.14
1326,52165.54
1327,119385.07
1328,95139.15
1329,23703.59
1330,52590.03
1331,49778.38
1332,13493.44
1333,15803.65
1334,48701.93
1335,59080.34
1336,97643.97
1337,25194.74
1338,29756.87
1339,36109.3
1340,115354.63
1341,7710.81
1342,51136.25
1343,137290.98
1344,30198.22
1345,24342.12
1346,77944.61
1347,29639.93
1348,89087.68
1349,77270.67
1350,56761.54
1351,81111.7
1352,102374.39
1353,69861.67
1354,103086.06
1355,67388.75
1356,29688.44
1357,38193.06
1358,92706.09
1359,199288.82
1360,51806.01
1361,77232.32
1362,17865.13
1363,17238.62
1364,131165.3
1365,136021.38
1366,18501.52
1367,94767.32
1368,70081.32
1369,72482.37
1370,40905.71
1371,45626.9
1372,48598.48
1373,57837.91
1374,24552.94
1375,28199.69
1376,73028.46
1377,52081.42
1378,39156.18
1379,87049.54
1380,12484.47
1381,22554.94
1382,41579.9
1383,65664.05
1384,94519.16
1385,26485.45
1386,6793.82
1387,37755.5
1388,36912.88
1389,130050.23
1390,42148.62
1391,148594.17
1392,64340.04
1393,36489.14
1394,16341.16
1395,10464.58
1396,16465.63
1397,44028.03
1398,59746.65
1399,26161.05
1400,63512.42
1401,77078.29
1402,98321.66
1403,156227.07
1404,9750.52
1405,16149.74
1406,25090.94
1407,80324.85
1408,45005.49
1409,54361.15
1410,78572.63
1411,18908.58
1412,79158.16
1413,84294.46
1414,111145.5
1415,94105.48
1416,87854.1
1417,59575.72
1418,72643.17
1419,13655.45
1420,46364.14
1421,40838.83
1422,53164.2
1423,136564.07
1424,59269.01
1425,141557.23
1426,60962.86
1427,116099.66
1428,27949.53
1429,109008.82
1430,82709.02
1431,16380.44
1432,13635.54
1433,68306.94
1434,64733.22
1435,44288.45
1436,18127.15
1437,89108.38
1438,26932.65
1439,14894.38
1440,66786.36
1441,134755.0
1442,24777.16
1443,57681.71
1444,80383.32
1445,71326.96
1446,103567.71
1447,64399.68
1448,119149.44
1449,49176.56
1450,17210.09
1451,24275.5
1452,34928.21
1453,113814.48
1454,111734.21
1455,88276.73
1456,49263.41
1457,76353.11
1458,108115.16
1459,94347.1
1460,80269.44
1461,71385.64
1462,4730.36
1463,96983.2
1464,112922.26
1465,22194.01
1466,83549.22
1467,47607.53
1468,50834.66
1469,21953.85
1470,79032.25
1471,101109.11
1472,49217.74
1473,42364.15
1474,26390.64
1475,133287.22
1476,25406.34
1477,127934.7
1478,19525.09
1479,38957.88
1480,27198.45
1481,131278.42
1482,35756.95
1483,79007.5
1484,58142.44
1485,23854.47
1486,128212.28
1487,96235.52
1488,63938.87
1489,106222.62
1490,56537.75
1491,33420.15
1492,55681.4
1493,39000.44
1494,31777.59
1495,70179.65
1496,87399.34
1497,74365.56
1498,80642.13
1499,220137.33
1500,24430.26
1501,205094.03
1502,17572.31
1503,168083.2
1504,19388.42
1505,68724.51
1506,35140.77
1507,38604.44
1508,55060.41
1509,73521.62
1510,102234.0
1511,64813.87
1512,120118.41
1513,112310.22
1514,91285.45
1515,141245.72
1516,98088.64
1517,19169.54
1518,46227.06
1519,149533.14
1520,140233.19
1521,30412.85
1522,39332.04
1523,85974.84
1524,61363.19
1525,102444.47
1526,19221.94
1527,117675.14
1528,22857.44
1529,80791.54
1530,93515.62
1531,33631.68
1532,29986.39
1533,27494.8
1534,59685.61
1535,17159.42
1536,98234.39
1537,52807.85
1538,88527.05
1539,126382.84
1540,59278.12
1541,48468.0
1542,97610.11
1543,29488.1
1544,27590.49
1545,93355.9
1546,50857.56
1547,97984.09
1548,37270.61
1549,26349.19
1550,31990.97
1551,61719.97
1552,45885.31
1553,99566.14
1554,82277.75
1555,132585.73
1556,78777.83
1557,88723.33
1558,17981.65
1559,21198.76
1560,31830.17
1561,137181.25
1562,16093.38
1563,79790.02
1564,128943.11
1565,83441.82
1566,92302.29
1567,12536.21
1568,55050.82
1569,139234.15
1570,15362.96
1571,208542.28
1572,83029.75
1573,16130.22
1574,33075.27
1575,114221.58
1576,88143.09
1577,28774.44
1578,17834.41
1579,46597.49
1580,42887.06
1581,133157.09
1582,41319.66
1583,53768.9
1584,45058.62
1585,71560.85
1586,44945.07
1587,74059.67
1588,57489.34
1589,101087.9
1590,116657.15
1591,109165.38
1592,75696.99
1593,36934.93
1594,49004.98
1595,34994.82
1596,27461.58
1597,40267.88
1598,48307.45
1599,141362.93
1600,112655.33
1601,112093.02
1602,68563.8
1603,75560.18
1604,156952.88
1605,171881.42
1606,15995.4
1607,41644.74
1608,45877.78
1609,102942.3
1610,45058.51
1611,47184.27
1612,18513.64
1613,70353.9
1614,50193.58
1615,51876.64
1616,68911.37
1617,49145.97
1618,101607.6
1619,89599.19
1620,89303.28
1621,134410.36
1622,75763.34
1623,133918.29
1624,29436.46
1625,41263.8
1626,61145.18
1627,86222.18
1628,36112.26
1629,63929.58
1630,87424.88
1631,112112.62
1632,16595.05
1633,17421.32
1634,88061.89
1635,33893.5
1636,43717.18
1637,107654.98
1638,74508.66
1639,27113.13
1640,29437.89
1641,28880.3
1642,34194.45
1643,78427.8
1644,70565.86
1645,69123.26
1646,64691.54
1647,94977.08
1648,57072.53
1649,8859.17
1650,122515.29
1651,42676.03
1652,37362.94
1653,15834.01
1654,51223.33
1655,40002.81
1656,26172.54
1657,22090.41
1658,103099.16
1659,21765.6
1660,122112.23
1661,61277.4
1662,46947.73
1663,121596.89
1664,56984.96
1665,78660.02
1666,46011.94
1667,19338.86
1668,28812.56
1669,60343.56
1670,186041.13
1671,178272.12
1672,16546.99
1673,28605.48
1674,47908.69
1675,95757.12
1676,104043.08
1677,122090.11
1678,80600.06
1679,46170.95
1680,39628.95
1681,6620.84
1682,185135.41
1683,27730.99
1684,33959.79
1685,72476.77
1686,76531.83
1687,52628.27
1688,31621.3
1689,19901.38
1690,35727.82
1691,72602.22
1692,55995.21
1693,24531.96
1694,65455.2
1695,81604.98
1696,10688.18
1697,15223.39
1698,60701.49
1699,97294.17
1700,15758.11
1701,104447.6
1702,42090.81
1703,120982.26
1704,18332.19
1705,9922.25
1706,63859.4
1707,68470.85
1708,56117.56
1709,65232.07
1710,21330.72
1711,63022.07
1712,58311.58
1713,105643.27
1714,76271.29
1715,115001.17
1716,39903.05
1717,22778.2
1718,49080.92
1719,30351.12
1720,45697.05
1721,30601.97
1722,30306.46
1723,51565.14
1724,29379.95
1725,130643.65
1726,69503.61
1727,29806.99
1728,59559.62
1729,17853.28
1730,44789.26
1731,81654.4
1732,46343.71
1733,59240.38
1734,103861.4
1735,88973.07
1736,103670.71
1737,34639.26
1738,123784.37
1739,115394.18
1740,45078.52
1741,24202.96
1742,27444.18
1743,17872.08
1744,28366.4
1745,129771.96
1746,61034.47
1747,27052.8
1748,97509.11
1749,48092.77
1750,14578.4
1751,72524.25
1752,37464.42
1753,49050.72
1754,39886.59
1755,28142.27
1756,35851.21
1757,22248.62
1758,79447.85
1759,35188.19
1760,65366.78
1761,18953.28
1762,42137.54
1763,54162.02
1764,62697.25
1765,80096.34
1766,104616.02
1767,60105.19
1768,44283.59
1769,128352.37
1770,22050.3
1771,85894.72
1772,91123.7
1773,111856.5
1774,23634.29
1775,89330.29
1776,52039.82
1777,137107.18
1778,36652.7
1779,100979.47
1780,23864.55
1781,24636.33
1782,41275.99
1783,52872.62
1784,18144.65
1785,24881.83
1786,52247.3
1787,116264.11
1788,35012.46
1789,125867.2
1790,88982.67
1791,33053.08
1792,84435.86
1793,17942.13
1794,21408.59
1795,15356.33
1796,21950.25
1797,98948.72
1798,90438.7
1799,35535.53
1800,49892.59
1801,81717.89
1802,17835.38
1803,82413.48
1804,74599.61
1805,45596.26
1806,54069.41
1807,94138.3
1808,74343.29
1809,33599.31
1810,45335.44
1811,74886.77
1812,59935.31
1813,137060.32
1814,26449.22
1815,24310.25
1816,34920.01
1817,20998.7
1818,104624.14
1819,84575.04
1820,42873.45
1821,73807.34
1822,121783.75
1823,33528.62
1824,67528.29
1825,37733.86
1826,146559.91
1827,65218.05
1828,32878.94
1829,170149.53
1830,21606.86
1831,52461.47
1832,27966.97
1833,25674.22
1834,29607.59
1835,25535.61
1836,92247.25
1837,31692.14
1838,154838.57
1839,28862.55
1840,64245.36
1841,85934.61
1842,59487.55
1843,62539.1
1844,16438.66
1845,18356.63
1846,32551.84
1847,66656.8
1848,8727.75
1849,4939.76
1850,87934.87
1851,45870.05
1852,44071.1
1853,116274.77
1854,23234.11
1855,52172.57
1856,75916.28
1857,66001.45
1858,38520.03
1859,130164.5
1860,68287.05
1861,160752.19
1862,30757.64
1863,48474.84
1864,27820.73
1865,109004.3
1866,73678.66
1867,46160.57
1868,154192.09
1869,28960.78
