ID,credit_status,annual_income,verification_status,employment_duration,property_type,interest_rate,credit_amount,credit_type,term,credit_category
387784,Defaulted,50000,Not Verified,4 years,Leased,15.96%,12000,car, 36 months,C
381652,Paid,46000,Not Verified,1 year,Leased,9.91%,12000,Credit card, 36 months,B
556461,Defaulted,50000,Verified,7 years,Leased,19.91%,21000,Debt consolidation, 60 months,E
230783,Paid,81000,Verified,7 years,Leased,19.91%,16000,Credit card, 60 months, E
366607,Paid,39000,Not Verified,< 1 year,Own,12.42%,10000,Debt consolidation, 36 months,B
966037,Paid,51400,Not Verified,2 years,Leased,10.65%,10000,Credit card, 36 months,B
203017,Paid,33000,Verified,1 year,Mortgaged,16.77%,7100,Debt consolidation, 36 months,D
134596,Paid,30000,Verified from source,< 1 year,Mortgaged,12.69%,13000,Debt consolidation, 60 months,B
247102,Paid,40000,Verified,6 years,Rented,17.27%,17500,Small business, 60 months,D
883321,Paid,50000,Verified from source,< 1 year,Leased,14.65%,17675,Debt Consolidation, 60 months,C
682109,Paid,62000,Not Verified,< 1 year,Leased,16.77%,8000,Debt consolidation, 36 months,D
547649,Defaulted,45996,Verified,10+ years,Leased,10.65%,10000,Debt consolidation, 60 months,B
592111,Paid,55000,Not Verified,7 years,Mortgaged,10.65%,3500,Debt consolidation, 36 months,B
361838,Defaulted,30000,Verified from source,5 years,Leased,17.27%,12500,Debt consolidation, 60 months,D
629266,Paid,44544,Verified from source,4 years,Leased,14.27%,16425,Debt Consolidation, 36 months,C
907824,Default,75000,Verified from source,4 years,Leased,21.28%,8200,Small business, 60 months,F
160580,Paid,61000,Verified,2 years,Own,14.65%,15000,Credit card, 36 months,C
761370,Paid,44000,Verified,5 years,Mortgaged,17.58%,20975,Credit card, 60 months,D
936359,Defaulted,75000,Not Verified,5 years,Leased,16.77%,6400,Debt consolidation, 36 months,D
276659,Paid,33600,Not Verified,1 year,Leased,13.49%,3000,Debt consolidation, 36 months,C
856022,Paid,50000,Not Verified,3 years,Leased,16.77%,12000,Credit card, 36 months,D
949541,Paid,150000,Verified from source,< 1 year,Own,8.90%,14400,Debt consolidation, 36 months,A
406239,Paid,90000,Not Verified,10+ years,Leased,14.65%,12000,Debt Consolidation, 36 months,C
941313,Paid,48000,Verified,10+ years,Mortgaged,13.49%,11000,Debt consolidation, 36 months,C
329831,Paid,75000,Verified,< 1 year,Leased,21.67%,7250,Debt consolidation, 60 months,F
439030,Paid,52000,Not Verified,1 year,Mortgaged,7.90%,15000,Small business, 36 months,A
682496,Paid,65000,Not Verified,10+ years,Mortgaged,19.91%,18000,Debt consolidation, 60 months, E
253659,Paid,150000,Verified,3 years,Mortgaged,17.27%,35000,Home remodeling, 60 months,D
341004,Paid,68000,Verified from source,2 years,Leased,14.27%,10000,Credit card, 36 months,C
791129,Paid,42000,Verified from source,6 years,Leased,12.69%,11800,Credit card, 36 months,B
187855,Paid,53000,Verified from source,4 years,Leased,6.03%,4500,Consumption, 36 months,A
886165,Paid,35000,Verified from source,10+ years,Leased,12.69%,7000,Credit card, 36 months,B
499452,Paid,60000,Verified from source,2 years,Leased,12.42%,9200,Debt Consolidation, 36 months,B
966174,Paid,28000,Verified,4 years,Leased,17.27%,14000,Other, 60 months,D
444230,Paid,42000,Verified from source,< 1 year,Mortgaged,10.65%,4500,car, 60 months,B
169197,Paid,88365,Verified,9 years,Leased,16.29%,12000,Debt consolidation, 36 months,D
164340,Paid,72000,Verified from source,4 years,Leased,13.49%,12000,Debt consolidation, 36 months,C
815297,Paid,62000,Verified,< 1 year,Leased,10.65%,12000,Credit card, 36 months,B
905022,Paid,43680,Not Verified,3 years,Mortgaged,10.65%,7000,Credit card, 36 months,B
648839,Paid,120000,Verified from source,3 years,Leased,19.42%,8200,Debt Consolidation, 60 months,E
748431,Paid,66000,Verified,10+ years,Rented,12.69%,10500,Medical cause, 36 months,B
975689,Paid,39120,Not Verified,4 years,Own,11.71%,7000,Debt consolidation, 36 months,B
801412,Paid,85000,Verified,6 years,Leased,22.06%,15300,Credit card, 60 months,F
755980,Paid,47800,Verified,4 years,Mortgaged,11.71%,20000,Debt consolidation, 60 months,B
932241,Defaulted,45000,Not Verified,7 years,Mortgaged,17.27%,17500,Credit card, 60 months,D
571349,Paid,83000,Verified,10+ years,Mortgaged,6.03%,3500,car, 36 months,A
764780,Paid,81000,Verified from source,< 1 year,Rented,12.69%,6000,Consumption, 60 months,B
380472,Defaulted,25000,Not Verified,2 years,Leased,9.91%,6200,Debt consolidation, 36 months,B
744782,Paid,65000,Not Verified,7 years,Leased,17.58%,16000,Debt consolidation, 60 months,D
209310,Paid,28800,Not Verified,8 years,Own,8.90%,6000,Debt consolidation, 36 months,A
880234,Paid,135000,Not Verified,6 years,Leased,9.91%,7200,Credit card, 36 months,B
934823,Paid,50000,Not Verified,7 years,Mortgaged,8.90%,9500,Credit card, 36 months,A
236939,Defaulted,38000,Verified,10+ years,Leased,16.77%,18825,Debt consolidation, 60 months,D
765267,Paid,45000,Verified,10+ years,Leased,10.65%,24000,Debt consolidation, 36 months,B
992278,Paid,80000,Not Verified,10+ years,Leased,13.49%,6000,Debt Consolidation, 36 months,C
191315,Paid,50000,Not Verified,5 years,Leased,13.49%,6000,Debt consolidation, 36 months,C
537975,Paid,30000,Not Verified,10+ years,Mortgaged,12.42%,2100,Vacation, 36 months,B
213642,Paid,110000,Verified,8 years,Mortgaged,6.62%,5500,Small business, 36 months,A
435233,Paid,45608,Verified from source,8 years,Own,6.62%,11000,Debt consolidation, 36 months,A
816411,Paid,120000,Verified,3 years,Mortgaged,20.89%,26800,Debt consolidation, 60 months,F
186376,Paid,35000,Not Verified,5 years,Mortgaged,12.69%,8000,Debt consolidation, 36 months,B
266215,Defaulted,75000,Verified from source,1 year,Leased,18.25%,10000,Credit card, 36 months,D
681828,Paid,35000,Verified,9 years,Mortgaged,11.71%,8000,Credit card, 36 months,B
480477,Paid,24000,Verified,6 years,Leased,8.90%,10000,Debt consolidation, 36 months,A
647069,Paid,126000,Not Verified,2 years,Mortgaged,11.71%,12000,Debt consolidation, 36 months,B
727907,Paid,43000,Not Verified,1 year,Leased,7.90%,10000,Debt consolidation, 36 months,A
148770,Paid,50000,Not Verified,1 year,Leased,9.91%,12000,Debt consolidation, 36 months,B
129990,Defaulted,67000,Verified,10+ years,Mortgaged,13.49%,25000,Credit card, 60 months,C
490033,Defaulted,45000,Verified,4 years,Leased,10.65%,19750,Debt consolidation, 36 months,B
811773,Paid,31200,Verified from source,3 years,Leased,9.91%,10000,Debt Consolidation, 36 months,B
500469,Paid,66000,Verified,4 years,Leased,12.42%,13650,Debt Consolidation, 36 months,B
595497,Defaulted,52000,Verified,10+ years,Leased,19.91%,28000,Debt consolidation, 60 months,E
361488,Paid,56964,Verified from source,10+ years,Leased,7.90%,18000,Debt Consolidation, 36 months,A
379674,Paid,49500,Verified from source,7 years,Leased,14.27%,2500,Debt Consolidation, 36 months,C
224959,Paid,70000,Verified,10+ years,Leased,20.30%,21000,Credit card, 60 months, E
538624,Paid,125000,Verified,6 years,Mortgaged,8.90%,35000,Debt consolidation, 36 months,A
856160,Paid,33000,Not Verified,3 years,Leased,7.51%,10000,Credit card, 36 months,A
238015,Paid,30000,Verified from source,< 1 year,Leased,12.69%,7000,Credit card, 36 months,B
695784,Defaulted,90000,Verified from source,8 years,Mortgage,15.96%,24000,Home remodeling, 36 months,C
189825,Paid,23000,Not Verified,5 years,Mortgaged,7.51%,10625,Medical cause, 36 months,A
892750,Paid,24000,Verified from source,2 years,Leased,14.65%,5000,Debt Consolidation, 36 months,C
966651,Paid,62000,Verified from source,10+ years,Leased,6.62%,8850,Credit card, 36 months,A
945569,Paid,44000,Verified from source,4 years,Leased,7.51%,6375,Debt Consolidation, 36 months,A
321725,Paid,90000,Not Verified,1 year,Leased,11.71%,6000,Credit card, 36 months,B
714814,Defaulted,41000,Verified,10+ years,Leased,6.62%,11100,Credit card, 36 months,A
725311,Paid,56000,Verified from source,2 years,Mortgaged,12.69%,10000,Debt consolidation, 60 months,B
511976,Paid,26500,Not Verified,5 years,Mortgaged,6.03%,6200,Small business, 36 months,A
651651,Paid,54000,Not Verified,1 year,Leased,18.64%,15000,Debt consolidation, 36 months,E
622689,Paid,53000,Not Verified,2 years,Leased,11.71%,4200,Other, 36 months,B
477381,Paid,52800,Not Verified,4 years,Leased,14.27%,14000,Debt Consolidation, 36 months,C
718996,Paid,38000,Not Verified,1 year,Mortgaged,7.51%,8875,Debt consolidation, 36 months,A
788838,Paid,38000,Verified,7 years,Leased,9.91%,13500,Debt consolidation, 36 months,B
760935,Defaulted,42000,Not Verified,2 years,Leased,9.91%,12000,Debt consolidation, 36 months,B
729736,Paid,55000,Verified,4 years,Leased,19.91%,16000,Debt consolidation, 60 months, E
788502,Paid,60000,Verified from source,8 years,Mortgaged,19.42%,21600,Debt consolidation, 60 months, E
298991,Paid,87000,Not Verified,6 years,Mortgaged,10.65%,6000,Home renovation, 36 months,B
730930,Paid,25000,Verified,5 years,Own,16.77%,8450,Debt consolidation, 60 months,D
423344,Paid,82000,Not Verified,1 year,Leased,13.49%,20000,Credit card, 60 months,C
519623,Defaulted,60000,Not Verified,8 years,Leased,11.71%,10000,Debt consolidation, 36 months,B
981164,Paid,80000,Verified,5 years,Mortgaged,16.29%,12000,Credit card, 36 months,D
694094,Defaulted,25000,Verified,10+ years,Leased,13.49%,13475,Credit card, 60 months,C
515189,Paid,48000,Not Verified,5 years,Rented,12.42%,7200,Consumption, 36 months,B
920857,Defaulted,85000,Not Verified,1 year,Mortgaged,14.65%,5600,Debt consolidation, 36 months,C
401086,Paid,57000,Verified,< 1 year,Leased,14.27%,12000,Debt consolidation, 36 months,C
210432,Paid,25000,Not Verified,2 years,Leased,6.03%,8500,Credit card, 36 months,A
469247,Paid,34000,Verified from source,2 years,Leased,9.91%,8000,Credit card, 36 months,B
679040,Paid,40000,Not Verified,10+ years,Leased,12.42%,8000,Credit card, 36 months,B
648886,Paid,42656.4,Verified from source,10+ years,Leased,15.27%,16000,Debt Consolidation, 60 months,C
940520,Paid,44400,Verified from source,2 years,Mortgaged,17.27%,15000,Home purchase, 36 months,D
744766,Paid,30000,Not Verified,2 years,Own,9.91%,10000,Debt consolidation, 36 months,B
645243,Paid,70000,Not Verified,5 years,Mortgaged,6.62%,10000,Credit card, 36 months,A
895903,Paid,28000,Not Verified,3 years,Leased,14.65%,8000,car, 36 months,C
776835,Paid,50000,Verified,2 years,Mortgaged,9.91%,22000,Debt consolidation, 36 months,B
655041,Paid,94800,Verified,10+ years,Mortgaged,14.27%,6000,car, 36 months,C
925007,Paid,40000,Verified,10+ years,Own,9.91%,16000,Debt consolidation, 60 months,B
959836,Paid,36000,Verified from source,2 years,Mortgaged,9.91%,13500,Credit card, 36 months,B
166925,Paid,225000,Verified,2 years,Leased,12.42%,25000,Debt consolidation, 36 months,B
405163,Paid,45900,Verified,2 years,Leased,13.49%,10000,Small business, 36 months,C
847871,Paid,27200,Not Verified,4 years,Leased,13.49%,2500,Debt Consolidation, 36 months,C
792255,Paid,42000,Not Verified,1 year,Leased,12.69%,7325,Debt Consolidation, 36 months,B
662180,Paid,135000,Verified,5 years,Leased,12.42%,4000,Credit card, 36 months,B
803374,Defaulted,65000,Not Verified,5 years,Rented,13.49%,10000,Small business, 36 months,C
910016,Defaulted,24000,Not Verified,< 1 year,Leased,17.27%,7750,Debt consolidation, 36 months,D
930964,Defaulted,70000,Verified from source,6 years,Leased,20.89%,20000,Debt consolidation, 60 months,F
191756,Paid,65000,Verified,10+ years,Leased,12.42%,9600,Debt Consolidation, 36 months,B
688615,Defaulted,60000,Not Verified,3 years,Leased,11.71%,21000,Debt consolidation, 60 months,B
411263,Paid,30000,Verified from source,3 years,Leased,10.65%,14000,Credit card, 36 months,B
137517,Paid,43000,Not Verified,10+ years,Leased,12.42%,13350,Debt Consolidation, 36 months,B
602556,Defaulted,42000,Verified,10+ years,Leased,16.77%,15000,Debt consolidation, 36 months,D
201677,Defaulted,75000,Verified from source,8 years,Leased,17.27%,15000,Debt consolidation, 36 months,D
480041,Paid,129000,Verified,10+ years,Mortgaged,13.49%,11000,Debt consolidation, 60 months,C
168269,Paid,168000,Verified,2 years,Mortgaged,10.65%,35000,Debt consolidation, 36 months,B
747835,Paid,74000,Verified from source,9 years,Mortgaged,10.65%,9000,Credit card, 36 months,B
553987,Paid,52000,Verified,7 years,Mortgaged,15.27%,22475,Debt consolidation, 60 months,C
249820,Defaulted,58500,Verified from source,1 year,Leased,12.69%,16000,Debt consolidation, 36 months,B
456808,Paid,71000,Verified from source,5 years,Leased,12.69%,13500,Debt Consolidation, 36 months,B
417537,Paid,75000,Verified,10+ years,Leased,12.69%,24000,Debt Consolidation, 36 months,B
244729,Paid,60000,Not Verified,5 years,Leased,10.65%,12000,Credit card, 36 months,B
881456,Paid,87996,Not Verified,5 years,Rented,16.77%,8400,Consumption, 60 months,D
401791,Paid,140000,Verified,5 years,Mortgaged,17.58%,28000,Home remodeling, 60 months,D
950249,Paid,66000,Verified from source,10+ years,Leased,6.62%,14000,Debt Consolidation, 36 months,A
669283,Defaulted,70000,Not Verified,8 years,Mortgaged,14.27%,12000,Other, 36 months,C
852523,Paid,1.00E+05,Verified,10+ years,Mortgaged,11.71%,25000,Debt consolidation, 36 months,B
952488,Paid,50000,Verified from source,5 years,Leased,12.69%,9000,Debt consolidation, 36 months,B
989036,Paid,35000,Not Verified,4 years,Leased,10.65%,13250,Debt consolidation, 36 months,B
364755,Paid,75000,Verified,6 years,Leased,13.49%,20000,Debt consolidation, 36 months,C
698666,Paid,71000,Verified,5 years,Rented,14.65%,3000,Medical cause, 36 months,C
662152,Paid,48000,Not Verified,10+ years,Mortgaged,10.65%,7350,Debt Consolidation, 36 months,B
588763,Paid,36000,Not Verified,5 years,Leased,15.27%,11500,Debt consolidation, 36 months,C
905739,Defaulted,86000,Not Verified,10+ years,Mortgaged,12.42%,13650,Debt consolidation, 36 months,B
216735,Defaulted,30000,Verified from source,3 years,Leased,16.29%,10500,Debt consolidation, 36 months,D
684591,Paid,60000,Not Verified,2 years,Leased,9.91%,12000,Debt consolidation, 36 months,B
369603,Paid,34000,Not Verified,3 years,Leased,8.90%,6000,Credit card, 36 months,A
431243,Paid,44200,Verified,10+ years,Mortgaged,15.27%,11500,Credit card, 36 months,C
131503,Paid,82000,Not Verified,7 years,Mortgaged,12.42%,7000,Debt consolidation, 36 months,B
613946,Paid,83000,Verified from source,6 years,Mortgaged,20.30%,29500,Debt consolidation, 60 months, E
303800,Paid,41000,Verified,2 years,Leased,15.27%,2000,Moving, 36 months,C
631039,Paid,36000,Verified from source,< 1 year,Mortgaged,13.49%,11625,Credit card, 36 months,C
373668,Defaulted,35000,Verified,10+ years,Leased,14.27%,15075,Debt consolidation, 36 months,C
700930,Paid,30000,Verified,1 year,Leased,15.27%,5300,Credit card, 36 months,C
652226,Paid,40000,Verified from source,< 1 year,Rented,6.62%,8200,Home renovation, 36 months,A
425103,Paid,105000,Not Verified,9 years,Mortgaged,12.42%,12000,Credit card, 36 months,B
883900,Paid,45000,Verified from source,4 years,Mortgaged,14.27%,8650,Credit card, 36 months,C
774480,Paid,109000,Verified,10+ years,Mortgaged,17.27%,21000,Debt consolidation, 60 months,D
187288,Paid,50000,Verified from source,2 years,Leased,17.27%,16000,Debt Consolidation, 60 months,D
861655,Paid,83000,Not Verified,2 years,Leased,12.42%,12000,Debt consolidation, 36 months,B
734459,Defaulted,52500,Verified from source,< 1 year,Mortgaged,12.69%,9500,Moving, 36 months,B
385096,Paid,25000,Verified from source,< 1 year,Own,13.49%,7400,Debt consolidation, 36 months,C
624563,Paid,60000,Not Verified,10+ years,Mortgaged,13.49%,14400,Debt Consolidation, 36 months,C
118895,Paid,120000,Verified,7 years,Mortgaged,23.91%,24250,Debt consolidation, 60 months,G
701708,Defaulted,68000,Verified from source,3 years,Leased,7.90%,7200,Debt consolidation, 36 months,A
756099,Defaulted,53000,Verified,10+ years,Mortgage,16.77%,26000,Home remodeling, 60 months,D
620325,Defaulted,69600,Verified,6 years,Mortgaged,11.71%,7000,Credit card, 60 months,B
843106,Paid,65000,Verified from source,< 1 year,Rented,7.51%,4000,Consumption, 36 months,A
713150,Paid,144000,Verified,10+ years,Mortgaged,17.27%,1500,Debt consolidation, 36 months,D
453230,Paid,75000,Verified,2 years,Leased,12.42%,19600,Credit card, 36 months,B
120698,Paid,29000,Verified,7 years,Mortgaged,11.71%,2500,Debt consolidation, 36 months,B
141258,Defaulted,70000,Not Verified,2 years,Leased,12.69%,10000,Credit card, 36 months,B
220400,Paid,45000,Not Verified,5 years,Leased,6.62%,10000,Credit card, 36 months,A
257116,Paid,55200,Not Verified,5 years,Mortgaged,12.42%,4225,Other, 36 months,B
646565,Paid,61440,Not Verified,7 years,Mortgaged,7.90%,3500,Vacation, 36 months,A
143324,Paid,56000,Not Verified,10+ years,Mortgaged,6.62%,12000,Debt Consolidation, 36 months,A
219075,Paid,47000,Verified from source,< 1 year,Leased,8.90%,16500,Debt Consolidation, 36 months,A
255969,Paid,55000,Verified,< 1 year,Leased,21.67%,22000,Debt consolidation, 60 months,F
471050,Paid,71000,Verified,1 year,Leased,14.65%,12000,Credit card, 36 months,C
218071,Default,50000,Verified from source,10+ years,Rented,12.69%,15600,Vacation, 60 months,B
745201,Paid,135000,Verified,8 years,Leased,12.42%,10800,Credit card, 36 months,B
300897,Paid,63000,Not Verified,10+ years,Mortgaged,12.42%,14000,Credit card, 36 months,B
570549,Paid,44000,Verified,4 years,Mortgaged,17.58%,18825,Debt consolidation, 60 months,D
739782,Paid,50000,Not Verified,5 years,Mortgaged,13.49%,6000,Debt consolidation, 36 months,C
636308,Paid,80000,Not Verified,5 years,Leased,9.91%,12000,Debt consolidation, 36 months,B
608585,Paid,45000,Not Verified,4 years,Leased,12.42%,10000,Debt consolidation, 36 months,B
327342,Paid,78000,Not Verified,2 years,Rented,7.90%,8000,Vacation, 36 months,A
273276,Paid,33000,Verified,1 year,Leased,9.91%,14125,Debt consolidation, 36 months,B
152882,Paid,62800,Not Verified,5 years,Leased,12.69%,14000,Debt consolidation, 36 months,B
313162,Paid,26400,Verified from source,3 years,Leased,17.27%,13200,Small business, 60 months,D
279182,Paid,80000,Not Verified,10+ years,Mortgaged,19.03%,4000,Vacation, 36 months,E
122618,Defaulted,25000,Not Verified,2 years,Leased,12.69%,4000,Debt consolidation, 36 months,B
999852,Paid,65000,Verified from source,10+ years,Mortgaged,6.03%,10500,Debt consolidation, 36 months,A
440410,Paid,59000,Verified from source,10+ years,Own,7.90%,5500,car, 36 months,A
145311,Paid,33000,Verified,1 year,Leased,11.71%,7350,Debt consolidation, 36 months,B
439902,Defaulted,39000,Verified from source,10+ years,Leased,12.42%,10000,Credit card, 36 months,B
921208,Paid,42000,Not Verified,10+ years,Leased,7.51%,12000,Debt Consolidation, 36 months,A
866013,Paid,38004,Not Verified,5 years,Mortgaged,11.71%,5000,Home remodeling, 60 months,B
927700,Paid,31000,Verified from source,3 years,Own,11.71%,8000,Other, 60 months,B
934899,Paid,50700,Verified,10+ years,Mortgaged,8.90%,4500,Other, 36 months,A
813010,Paid,75000,Verified,1 year,Own,12.42%,18000,Credit card, 36 months,B
959550,Paid,30000,Verified from source,2 years,Mortgaged,13.49%,12300,Debt consolidation, 60 months,C
880373,Paid,40000,Not Verified,6 years,Leased,13.49%,12000,Debt consolidation, 36 months,C
386674,Paid,50000,Not Verified,10+ years,Mortgaged,13.49%,10000,Credit card, 36 months,C
216309,Paid,80000,Not Verified,7 years,Mortgaged,7.90%,6000,Other, 36 months,A
350288,Paid,40000,Not Verified,4 years,Leased,12.69%,12000,Debt consolidation, 36 months,B
977842,Defaulted,80000,Not Verified,7 years,Rented,8.90%,12000,Other, 36 months,A
170400,Paid,75000,Verified from source,2 years,Leased,11.71%,7000,Debt Consolidation, 36 months,B
863942,Paid,85000,Verified,8 years,Mortgaged,18.64%,35000,Debt consolidation, 60 months, E
168108,Paid,28800,Not Verified,1 year,Leased,7.90%,1400,Other, 36 months,A
487583,Defaulted,35000,Verified,10+ years,Rented,13.49%,16000,Small business, 60 months,C
848469,Paid,61200,Not Verified,9 years,Leased,9.91%,3200,Debt Consolidation, 36 months,B
113358,Paid,40000,Not Verified,1 year,Rented,7.90%,8000,Medical cause, 36 months,A
581477,Defaulted,25920,Verified from source,< 1 year,Leased,12.69%,11875,Debt consolidation, 60 months,B
744476,Paid,54000,Not Verified,9 years,Mortgaged,6.03%,5000,Home remodeling, 36 months,A
632250,Paid,18000,Not Verified,10+ years,Rented,6.62%,1800,Small business, 36 months,A
500105,Paid,85000,Verified,5 years,Leased,8.90%,35000,Debt consolidation, 36 months,A
111637,Paid,78000,Verified,5 years,Leased,8.90%,18000,Credit card, 36 months,A
544324,Defaulted,45600,Not Verified,10+ years,Own,7.90%,14000,Debt consolidation, 36 months,A
394593,Paid,70000,Not Verified,2 years,Leased,12.42%,5000,Debt consolidation, 36 months,B
320933,Paid,70000,Verified from source,4 years,Leased,15.96%,8000,Credit card, 36 months,C
645050,Paid,80000,Not Verified,9 years,Mortgaged,6.03%,10000,Debt consolidation, 36 months,A
898116,Paid,50000,Verified,5 years,Leased,7.51%,10000,Debt consolidation, 36 months,A
482194,Paid,35000,Verified,10+ years,Mortgaged,12.42%,12000,Debt consolidation, 36 months,B
183575,Paid,65000,Verified,3 years,Mortgaged,7.90%,23200,Debt consolidation, 36 months,A
456357,Paid,84000,Verified,1 year,Mortgaged,15.27%,18000,Credit card, 60 months,C
940256,Paid,75000,Not Verified,10+ years,Mortgaged,15.27%,4800,Debt Consolidation, 36 months,C
926773,Paid,35000,Not Verified,6 years,Leased,11.71%,7300,Debt consolidation, 36 months,B
122800,Paid,40000,Verified from source,6 years,Leased,9.91%,10400,Debt Consolidation, 36 months,B
719605,Paid,1.00E+05,Not Verified,1 year,Mortgaged,9.91%,6600,Home purchase, 36 months,B
759813,Paid,40000,Not Verified,7 years,Own,8.90%,12000,Debt consolidation, 36 months,A
562342,Paid,52000,Verified,10+ years,Leased,17.27%,13250,Debt Consolidation, 36 months,D
845176,Paid,92500,Verified from source,3 years,Leased,11.71%,12000,Debt Consolidation, 36 months,B
974066,Paid,61000,Verified from source,9 years,Leased,9.91%,25000,Debt consolidation, 36 months,B
317457,Paid,36000,Not Verified,10+ years,Leased,10.65%,6000,Other, 36 months,B
956294,Paid,68000,Not Verified,10+ years,Mortgaged,7.51%,12000,Credit card, 36 months,A
657633,Paid,80000,Not Verified,1 year,Leased,11.71%,14400,Credit card, 36 months,B
360303,Paid,43000,Not Verified,10+ years,Leased,12.42%,10000,Credit card, 36 months,B
320111,Paid,150000,Not Verified,1 year,Leased,11.71%,8000,Credit card, 36 months,B
